Date,Price,Open,High,Low,Vol.,Change %
1/1/2014,1240.3,1204,1280.1,1203.7,611.97K,3.10%
2/1/2014,1321.9,1243.2,1345.9,1241.2,104.74K,6.58%
3/1/2014,1284.1,1330.6,1392.2,1283.4,600.36K,-2.86%
4/1/2014,1296,1283.6,1331,1268.5,86.98K,0.93%
5/1/2014,1246.3,1292.1,1315.7,1243,568.51K,-3.83%
6/1/2014,1322.4,1247.5,1330.3,1240.9,33.37K,6.11%
7/1/2014,1282.8,1327.8,1347,1281.3,341.64K,-2.99%
8/1/2014,1287.4,1284.2,1324.3,1273.4,2.19M,0.36%
9/1/2014,1212.3,1288.5,1290.9,1205,2.68M,-5.83%
10/1/2014,1172.4,1208.5,1256.2,1161.9,111.55K,-3.29%
11/1/2014,1176,1171.1,1208.2,1132,585.60K,0.31%
12/1/2014,1184.9,1159.2,1239.4,1143.4,85.96K,0.76%
1/1/2015,1280,1185,1308.8,1168.3,631.89K,8.03%
2/1/2015,1214,1280.2,1286.5,1190.8,66.38K,-5.16%
3/1/2015,1184.1,1214.9,1223.7,1142.4,730.99K,-2.46%
4/1/2015,1183.4,1184,1225,1175.2,58.90K,-0.06%
5/1/2015,1190.7,1184,1232.8,1170,582.63K,0.62%
6/1/2015,1172.8,1193.3,1205.5,1163.2,22.07K,-1.50%
7/1/2015,1095.1,1171.6,1175.3,1072.8,451.20K,-6.63%
8/1/2015,1132.5,1095.1,1169.8,1080.2,3.18M,3.42%
9/1/2015,1116,1133.8,1156.4,1097.7,2.41M,-1.46%
10/1/2015,1142.3,1115.9,1192.1,1106,70.57K,2.36%
11/1/2015,1066,1142.2,1143.1,1052.5,611.05K,-6.68%
12/1/2015,1060.8,1064.8,1088.8,1046.6,91.25K,-0.49%
1/1/2016,1116.8,1062.1,1128.7,1061.9,654.09K,5.28%
2/1/2016,1235.1,1116.2,1264.1,1116.2,136.29K,10.59%
3/1/2016,1237,1239.6,1287.8,1207.7,883.60K,0.15%
4/1/2016,1292.6,1236,1300.5,1211.8,117.74K,4.49%
5/1/2016,1220.3,1296.6,1308,1205,938.19K,-5.59%
6/1/2016,1324,1220.9,1365.5,1212.3,81.17K,8.50%
7/1/2016,1357.5,1329.1,1380.9,1314.7,578.21K,2.53%
8/1/2016,1311.4,1357.2,1374.2,1306.9,3.98M,-3.40%
9/1/2016,1320.9,1311.7,1357.6,1305.5,3.30M,0.72%
10/1/2016,1276.9,1324.6,1325.7,1246.9,169.63K,-3.33%
11/1/2016,1177,1281.9,1341,1172.8,833.00K,-7.82%
12/1/2016,1154.3,1178.7,1192.6,1127.2,90.69K,-1.93%
1/1/2017,1214.5,1154.4,1223,1149.7,738.56K,5.22%
2/1/2017,1257.2,1216,1268.1,1203.4,114.90K,3.52%
3/1/2017,1254.5,1252,1264.2,1198,802.35K,-0.21%
4/1/2017,1271.7,1254.3,1300.3,1248.8,82.43K,1.37%
5/1/2017,1279,1273.1,1280,1217.8,697.15K,0.57%
6/1/2017,1246,1274.8,1302.1,1240.9,43.11K,-2.58%
7/1/2017,1273.4,1245.7,1277.3,1207.6,532.99K,2.20%
8/1/2017,1322.2,1275.6,1331.9,1257.1,6.47M,3.83%
9/1/2017,1288.9,1326.9,1362.4,1282.5,6.23M,-2.52%
10/1/2017,1274.7,1286.6,1312.7,1267,138.59K,-1.10%
11/1/2017,1281.1,1275.7,1304.5,1270.1,956.69K,0.50%
12/1/2017,1314,1281.7,1314.6,1242.7,89.44K,2.57%
1/1/2018,1348.4,1309.9,1370.5,1309.3,1.28M,2.62%
2/1/2018,1323.7,1352.5,1369.6,1314.5,187.33K,-1.83%
3/1/2018,1333.3,1325.6,1362.6,1309.3,1.19M,0.73%
4/1/2018,1325.3,1336.3,1375.1,1317,142.49K,-0.60%
5/1/2018,1310.8,1322.1,1332.4,1286.8,1.10M,-1.09%
6/1/2018,1260.2,1309.6,1318.9,1253,57.96K,-3.86%
7/1/2018,1233.6,1260,1272.3,1215.7,644.48K,-2.11%
8/1/2018,1206.7,1232.7,1233.7,1167.1,6.04M,-2.18%
9/1/2018,1201.9,1206.3,1218,1190,4.60M,-0.40%
10/1/2018,1220.8,1201.7,1252,1192,160.30K,1.57%
11/1/2018,1231.8,1222.3,1245,1202.4,990.04K,0.90%
12/1/2018,1287.7,1233.3,1292.6,1233,112.60K,4.54%
1/1/2019,1331.6,1291.4,1337.2,1281.5,957.14K,3.41%
2/1/2019,1322.7,1332.1,1356,1311.3,110.39K,-0.67%
3/1/2019,1304.5,1322,1330.8,1287.5,1.01M,-1.38%
4/1/2019,1291.7,1302.9,1320.7,1274,110.51K,-0.98%
5/1/2019,1316.9,1291.1,1317.5,1273.2,974.68K,1.95%
6/1/2019,1419.6,1317.4,1447,1317.4,38.91K,7.80%
7/1/2019,1437.8,1411,1460.3,1390.9,800.95K,1.28%
8/1/2019,1529.4,1425.6,1565,1412.1,9.04M,6.37%
9/1/2019,1479.6,1535.2,1566.2,1477.1,7.30M,-3.26%
10/1/2019,1521.8,1485.8,1532.4,1471.8,208.55K,2.85%
11/1/2019,1478.1,1521.4,1525.2,1453.1,1.39M,-2.87%
12/1/2019,1529.3,1474.1,1534.5,1465.8,176.48K,3.46%
1/1/2020,1593.8,1527.5,1619.6,1526,1.44M,4.22%
2/1/2020,1571.8,1603.6,1697,1556.9,319.70K,-1.38%
3/1/2020,1596.6,1598.4,1707.8,1453,1.58M,1.58%
4/1/2020,1701,1590.7,1789,1580,165.00K,6.54%
5/1/2020,1760.7,1699.7,1787.5,1683.3,856.83K,3.51%
6/1/2020,1810,1766.5,1813,1683.8,43.86K,2.80%
7/1/2020,1985.9,1806.9,2005.4,1777.5,729.52K,9.72%
8/1/2020,1978.6,1997.4,2089.2,1874.2,7.18M,-0.37%
9/1/2020,1902.6,1973.7,2001.2,1851,5.45M,-3.84%
10/1/2020,1887.2,1901.1,1945.3,1866.7,110.00K,-0.81%
11/1/2020,1784.8,1885.3,1973.3,1771.3,939.99K,-5.43%
12/1/2020,1899.6,1784.1,1915.4,1783.3,96.21K,6.43%
1/1/2021,1852.7,1912.5,1966.8,1804.7,1.05M,-2.47%
2/1/2021,1731.6,1867.3,1877.8,1718.1,136.60K,-6.54%
3/1/2021,1717.5,1735.4,1759.9,1676.2,1.02M,-0.81%
4/1/2021,1769.8,1711.4,1800,1708.8,92.11K,3.05%
5/1/2021,1906.9,1770.4,1915.6,1768.5,1.01M,7.75%
6/1/2021,1773.5,1909.3,1920.5,1752.5,30.10K,-7.00%
7/1/2021,1817.2,1772.5,1837.5,1768.3,471.87K,2.46%
8/1/2021,1818.1,1817,1835.9,1677.9,3.66M,0.05%
9/1/2021,1758.5,1816.7,1836.9,1723.7,3.25M,-3.28%
10/1/2021,1785.9,1759.1,1817.5,1747.9,107.65K,1.56%
11/1/2021,1778.3,1786.8,1881.9,1761,1.17M,-0.43%
12/1/2021,1831,1778.4,1833.6,1755.4,100.64K,2.96%
1/1/2022,1799.2,1832.9,1856.7,1783.8,1.27M,-1.74%
2/1/2022,1904,1800.9,1979.1,1791.6,156.58K,5.82%
3/1/2022,1959.5,1912.2,2082,1893.2,1.25M,2.91%
4/1/2022,1918.6,1947.9,2009.5,1877.8,137.88K,-2.09%
5/1/2022,1856.3,1903.1,1917.6,1792,972.49K,-3.25%
6/1/2022,1816.3,1846.2,1890.6,1811.9,45.88K,-2.15%
7/1/2022,1781.8,1814.8,1823.9,1686.3,445.17K,-1.90%
8/1/2022,1726.2,1782.5,1824.6,1720.6,3.19M,-3.12%
9/1/2022,1684.9,1723,1746.4,1622.2,3.83M,-2.39%
10/1/2022,1654.9,1682.4,1751.6,1635,162.45K,-1.78%
11/1/2022,1775.1,1649.9,1806,1632.4,983.80K,7.26%
12/1/2022,1842.2,1798,1857,1793.6,85.55K,3.78%
1/1/2023,1962.2,1847.2,1966.6,1846.1,1.02M,6.51%
2/1/2023,1853.2,1959.7,1992.1,1827.6,111.60K,-5.55%
3/1/2023,2004.1,1865.4,2047.9,1848.6,71.23K,8.14%
4/1/2023,2018.3,2007.5,2080.8,1984.5,117.36K,0.71%
5/1/2023,1982.1,2019.1,2102.2,1949.6,1.45M,-1.79%
6/1/2023,1929.4,1981.3,2000.7,1900.6,3.65M,-2.66%
7/1/2023,2009.2,1945.4,2010.9,1927.6,246.57K,4.14%
8/1/2023,1965.9,2004.2,2004.4,1913.6,3.17M,-2.16%
9/1/2023,1885.4,1966.4,1980.2,1881.5,3.09M,-4.09%
10/1/2023,1994.3,1864.4,2019.7,1823.5,4.66M,5.78%
11/1/2023,2038.1,1993.3,2052.1,1935.6,3.67M,2.20%
12/1/2023,2071.8,2049,2140.7,1979,251.34K,1.65%
1/1/2024,2057.4,2072.7,2088.1,2004,3.84M,-0.70%
2/1/2024,2054.7,2047.7,2072.9,1987.2,384.71K,-0.13%
3/1/2024,2227.1,2052.8,2243.5,2047,4.74M,8.39%
